,year,2Macc 14:25,Tob 5:11,Tob 8:10,Sir 51:24,Sir 10:27,Tob 2:13,Wis 16:24,2Macc 14:26,Sir 36:12,Jdt 13:24,Jdt 13:15,Sir 13:8,2Macc 2:6,Sir 19:22,Sus 1:46,Sir 35:21,2Macc 4:18,Sir 33:15,Wis 19:4
0,1931,1,0,0,1,0,0,0,1,0,0,3,1,1,0,0,0,0,0,0
1,1928,0,1,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0
2,1925,0,0,3,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,2
3,1930,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1926,0,0,0,0,0,0,2,0,0,0,1,1,1,0,0,0,0,0,0
5,1927,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
6,1934,2,0,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0,1,0
7,1937,0,0,1,0,0,0,0,0,1,1,3,0,0,0,1,0,0,0,0
8,1939,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
9,1929,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0
10,1938,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1
11,1936,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0
12,1933,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
13,1932,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
14,1935,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
