,year,Matt 5:38,Luke 3:4,Matt 3:3/John 1:23/Mark 1:3/Isa 40:3,Luke 2:14,Matt 11:28,Matt 6:11/Luke 11:3,Exod 20:12/Deut 5:16/Eph 6:2,Matt 16:18,Luke 20:25,Matt 20:16
4,1925,2,2,4,7,1,4,3,16,6,5
6,1926,7,8,9,10,6,3,6,7,4,4
8,1927,5,8,11,11,4,3,2,4,3,3
3,1928,5,3,6,8,11,0,3,2,5,2
5,1929,8,2,5,4,2,4,4,3,1,1
0,1930,7,3,6,12,1,6,7,3,4,2
2,1931,7,5,9,8,4,2,0,6,5,4
7,1932,7,1,1,9,1,3,2,1,0,4
1,1933,13,3,4,11,2,7,2,2,1,6
9,1934,2,0,0,4,2,3,0,0,2,6
11,1935,5,3,3,2,1,3,2,1,2,3
12,1936,1,0,1,1,0,1,1,2,1,2
13,1937,4,0,1,5,2,6,0,2,2,2
10,1938,5,0,0,2,1,5,0,0,2,0
14,1939,2,3,5,3,2,4,4,0,4,2
