,year,Mt 5:38,L 3:4,Mk 1:3,L 2:14,Mt 11:28,Mt 6:11,L 11:3,Mt 16:18,L 20:25,Mt 20:16
0,1930,7,3,6,12,1,6,6,3,4,2
1,1933,13,3,4,11,2,7,7,2,1,6
2,1931,7,5,8,8,4,2,2,6,5,4
3,1928,5,3,6,8,11,0,0,2,5,2
4,1925,2,2,4,7,1,4,4,16,6,5
5,1929,8,2,4,4,2,4,4,3,1,1
6,1926,7,8,8,10,6,3,3,7,4,4
7,1932,7,1,1,9,1,2,2,1,0,4
8,1927,5,8,11,11,4,3,3,4,3,3
9,1934,2,0,0,4,2,3,3,0,2,6
10,1938,5,0,0,2,1,5,5,0,2,0
11,1935,5,3,3,2,1,3,3,1,2,3
12,1936,1,0,1,1,0,1,1,2,1,2
13,1937,4,0,1,5,2,6,6,2,2,2
14,1939,2,3,3,3,2,4,4,0,4,2
