,year,1J 5:6,R 13:11,Sk 5:29,2P 1:17,Ef 6:2,R 9:30,1K 15:20,2Tm 4:7,Zd 5:9,Sk 2:17,2K 2:6,2K 7:10
0,1927,3,0,2,7,2,7,0,3,1,0,0,0
1,1926,2,3,2,2,5,5,1,4,2,2,0,2
2,1931,1,0,3,4,0,8,1,1,1,4,2,0
3,1928,0,1,0,0,2,6,3,0,1,1,1,1
4,1930,0,1,1,1,7,9,1,0,1,1,3,2
5,1933,1,1,0,2,2,5,1,1,3,2,2,3
6,1925,4,1,4,1,5,9,3,1,2,1,3,0
7,1932,0,1,0,0,2,6,1,0,3,0,0,1
8,1929,2,1,1,1,3,7,0,2,1,0,0,2
9,1934,0,1,0,0,0,10,2,0,1,0,2,0
10,1937,0,1,0,0,0,8,0,3,0,0,2,0
11,1936,0,1,0,0,1,4,1,1,2,3,1,0
12,1939,1,0,0,0,3,5,0,0,0,0,1,0
13,1938,1,0,0,1,0,5,0,0,0,0,0,2
14,1935,0,1,0,0,2,5,0,1,0,1,3,0
